City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
526,Maningrida,AU,84.06,-12.07,134.27,Dhukurrdji Lodge
530,Itarema,BR,78.15,-2.92,-39.92,Windvillage
531,Pachperwa,IN,79.41,27.52,82.65,भगत जी
535,Samarai,PG,78.57,-10.62,150.67,Nuli Sapi
539,Auki,SB,84.78,-8.77,160.7,Auki Motel
541,Darnah,LY,76.66,32.77,22.64,زاوية الرفاعي
543,Sulphur,US,87.8,30.24,-93.38,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
545,Sibolga,ID,81.14,1.74,98.78,Hotel Syariah CN Darussalam
551,Shelby,US,82.0,35.2,-89.87,Days Inn by Wyndham Memphis - I40 and Sycamore View
553,Olinda,BR,77.0,-8.01,-34.86,Hotel 5 Sóis
557,Barra Do Garcas,BR,75.29,-15.89,-52.26,Hotel Pousada Tropical
559,Sharjah,AE,87.8,25.36,55.4,Swiss Belhotel Sharjah
567,Nakhon Thai,TH,78.8,17.1,100.84,Phet resort
570,Petatlan,MX,86.0,17.52,-101.27,Hotel California Petatlán
572,Kamaishi,JP,80.6,39.27,141.88,Hotel Route Inn Kamaishi
574,Praya,CV,78.8,14.92,-23.51,LT Aparthotel
577,Robertson,US,75.2,36.52,-86.87,Hampton Inn Springfield
582,Felanitx,ES,77.0,39.47,3.15,Petit Hotel Hostatgeria Sant Salvador
584,Naraina,IN,80.6,26.78,75.2,Shri Jayatram Sansthan
586,Porto Walter,BR,80.78,-8.27,-72.74,Hotel Silva
587,Mazatlan,MX,82.99,23.22,-106.42,Gaviana Resort
589,Natal,BR,75.2,-5.79,-35.21,Villa Park Hotel | Natal
591,Tecoanapa,MX,80.65,16.52,-98.75,Hotel Manglares
592,El Penon,CO,78.17,8.99,-73.95,Hotel Rio Grande
593,Itaituba,BR,82.4,-4.28,-55.98,Hotel Campos
596,Mahibadhoo,MV,82.2,3.78,72.97,Omadhoo Inn
598,Touros,BR,75.2,-5.2,-35.46,INN NEW HORIZON
599,Saint Paul,US,78.01,44.94,-93.09,InterContinental Saint Paul Riverfront
601,Naliya,IN,81.63,23.27,68.83,Hotel Panchvati
602,Numan,NG,76.01,9.47,12.03,Zangun Motel
605,Neftcala,AZ,75.02,39.37,49.25,Göl hotel
606,Mareeba,AU,78.01,-17.0,145.43,Trinity Plains Tourist Park
609,Macheng,CN,78.78,31.18,115.03,Shell Macheng City Macheng Bus Station Hotel
611,Koungheul,SN,75.24,13.98,-14.8,
615,Sinnamary,GF,79.02,5.38,-52.95,ALETHEIA Appartement Sinnamary
616,Sampit,ID,78.96,-2.53,112.95,Aquarius Boutique Hotel Sampit
618,Nanakuli,US,87.8,21.39,-158.15,Camp Palehua
619,Pangai,TO,78.8,-19.8,-174.35,Ha'apai Beach Resort
624,Keningau,MY,80.6,5.34,116.16,Sabindo Hotel
627,Acarau,BR,77.83,-2.89,-40.12,castelo pizzaria
633,Yarada,IN,80.6,17.65,83.27,"D-26/2, Dolphin Hill,"
637,Vilhena,BR,82.4,-12.74,-60.15,Hotel Mirage
638,Luwuk,ID,80.01,-0.95,122.79,Hotel Santika Luwuk
639,Progreso,MX,86.0,21.28,-89.67,Playa Linda Hotel
640,Camargo,MX,81.18,27.67,-105.17,Hotel Santa Fe
645,Wencheng,CN,82.49,33.06,113.8,Ruyi Hostel
646,Araure,VE,84.2,9.56,-69.21,Hotel Las Majaguas
647,Saint Pete Beach,US,80.01,27.73,-82.74,TradeWinds Island Grand Resort
652,Dong Hoi,VN,86.45,17.48,106.6,Nam Long Hotel
653,Arona,ES,75.2,28.1,-16.68,Paradise Court
654,Kudahuvadhoo,MV,82.36,2.67,72.89,Kudahuvadhoo Retreat
658,Shahpur,IN,77.0,16.7,76.83,Sai Deluxe Shahapur
660,Noshiro,JP,82.4,40.2,140.02,Azuma Ryokan
668,Erzin,TR,79.0,36.96,36.2,Artemis Otel
673,Puerto Carreno,CO,79.65,6.19,-67.49,Casa Hotel Victoria
676,Karratha,AU,75.16,-20.74,116.85,ibis Styles Karratha
677,Anlu,CN,80.98,31.17,112.58,Thank Inn Plus Hotel Hubei Jingmen Zhongxiang Wenfeng Road
681,Salinopolis,BR,80.06,-0.61,-47.36,Hotel Salinópolis
683,Balabac,PH,85.89,7.99,117.06,Sing and Swing Lodge
688,Gerash,IR,80.6,27.67,54.14,Chelpasin
689,Waingapu,ID,83.23,-9.66,120.26,Pondok Wisata Elim
