City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Nikolskoye,RU,59.7,30.79,53.01,87,5,4.47
99,Hay River,CA,60.82,-115.8,50.0,61,75,3.36
100,Mao,ES,39.89,4.27,73.4,69,29,11.41
101,Ponta Do Sol,PT,32.67,-17.1,73.4,78,40,5.82
102,Lokosovo,RU,61.13,74.82,42.48,95,57,7.81
103,Suamico,US,44.63,-88.04,73.4,69,90,11.41
104,Akdagmadeni,TR,39.66,35.88,54.12,82,0,2.55
105,Mahebourg,MU,-20.41,57.7,68.0,94,75,1.12
106,Sitka,US,57.05,-135.33,60.8,72,75,8.05
107,Juneau,US,58.3,-134.42,61.0,55,20,10.29
108,Mount Gambier,AU,-37.83,140.77,60.8,44,64,19.46
109,Namibe,AO,-15.2,12.15,67.33,88,62,0.85
110,Ozernovskiy,RU,51.5,156.52,54.84,93,99,3.78
111,Port Macquarie,AU,-31.43,152.92,70.0,72,0,3.36
112,Tabou,CI,4.42,-7.35,75.99,86,97,8.59
113,Avarua,CK,-21.21,-159.78,73.4,64,34,9.17
114,Jumla,NP,29.27,82.18,57.0,66,1,3.67
115,Zheleznodorozhnyy,RU,55.75,38.0,61.0,87,94,4.92
116,Port Hardy,CA,50.7,-127.42,64.4,82,75,16.11
117,Bud,US,39.45,-86.18,75.2,60,1,8.05
118,Castro,BR,-24.79,-50.01,64.83,57,0,4.74
119,Vila Franca Do Campo,PT,37.72,-25.43,68.0,77,40,17.22
120,Issoire,FR,45.55,3.25,57.2,58,27,6.93
121,Haapiti,PF,-17.57,-149.87,80.6,74,75,8.05
122,Luau,AO,-10.71,22.22,67.84,27,0,4.21
123,Xai-Xai,MZ,-25.05,33.64,60.82,87,0,2.73
124,Kitami,JP,43.8,143.89,80.01,73,75,3.36
125,Borodino,RU,55.91,94.9,44.96,84,90,4.09
126,Bonavista,CA,48.65,-53.11,59.22,75,22,10.45
127,Lamu,KE,-2.27,40.9,75.24,80,5,13.09
128,Odweyne,SO,9.41,45.06,73.89,59,44,19.22
129,Lashio,MM,22.93,97.75,69.26,100,100,0.34
130,Ostersund,SE,63.18,14.64,48.2,93,95,9.17
131,Praia Da Vitoria,PT,38.73,-27.07,69.01,77,75,22.41
132,Kumluca,TR,36.37,30.29,79.3,62,0,2.46
133,General Pico,AR,-35.66,-63.76,48.67,68,34,3.22
134,Salalah,OM,17.02,54.09,78.8,94,75,5.82
135,Port Elizabeth,ZA,-33.92,25.57,57.2,93,40,5.82
136,Yumen,CN,40.28,97.2,61.27,31,9,11.12
137,Waitati,NZ,-45.75,170.57,54.0,57,0,10.0
138,Viedma,AR,-40.81,-63.0,53.01,60,0,1.99
139,Blagoyevo,RU,63.37,47.92,55.27,91,98,6.96
140,Rawah,IQ,34.48,41.91,82.35,16,0,3.67
141,Grindavik,IS,63.84,-22.43,50.0,100,90,16.11
142,Metro,ID,-5.11,105.31,76.77,89,82,4.52
143,Dwarka,IN,22.24,68.97,82.51,83,43,11.48
144,Harper,LR,4.38,-7.72,76.23,85,97,8.23
145,Sao Filipe,CV,14.9,-24.5,78.15,82,49,18.92
146,Innisfail,AU,-17.53,146.03,66.99,80,77,7.0
147,Banda Aceh,ID,5.56,95.32,77.92,73,100,6.04
148,Colimes,EC,-1.55,-80.02,80.6,69,20,8.05
149,Mehamn,NO,71.04,27.85,49.8,91,100,23.31
150,Huarmey,PE,-10.07,-78.15,61.36,81,95,7.58
151,Kloulklubed,PW,7.04,134.26,84.2,79,75,5.82
152,Redwater,US,33.36,-94.25,90.0,52,1,3.36
153,Torbay,CA,47.67,-52.73,60.01,67,40,10.29
154,Tiznit,MA,29.58,-9.5,83.37,35,0,1.5
155,Kholtoson,RU,50.3,103.31,46.15,84,2,0.6
156,Show Low,US,34.25,-110.03,93.2,5,1,10.29
157,Pouembout,NC,-21.13,164.9,76.84,58,100,5.19
158,Saint-Philippe,RE,-21.36,55.77,69.8,68,90,6.93
159,Gimli,CA,50.63,-96.99,55.0,99,92,15.01
160,Leh,IN,34.17,77.58,51.58,49,6,5.73
161,Ancud,CL,-41.87,-73.82,46.0,86,0,1.95
162,Potiskum,NG,11.71,11.07,73.42,82,100,5.37
163,Arraial Do Cabo,BR,-22.97,-42.03,72.12,85,0,19.01
164,Provideniya,RU,64.38,-173.3,42.8,70,75,22.37
165,Groton,US,41.35,-72.08,73.0,78,1,9.17
166,Dingle,PH,11.0,122.67,82.71,79,60,0.34
167,Buta,CD,2.79,24.73,68.76,90,100,1.45
168,Norman Wells,CA,65.28,-126.83,53.6,62,75,13.87
169,Tapah,MY,4.2,101.26,77.0,88,20,4.7
170,Kaeo,NZ,-35.1,173.78,63.0,3,47,8.99
171,Maarianhamina,AX,60.1,19.93,48.2,93,10,3.36
172,Snezhnogorsk,RU,69.19,33.25,51.8,87,40,4.47
173,Faya,SA,18.39,42.45,69.8,31,0,4.85
174,Goderich,CA,43.75,-81.72,69.01,72,22,22.12
175,Luderitz,NA,-26.65,15.16,57.99,72,0,15.5
176,Hami,CN,42.8,93.45,72.16,22,49,2.3
177,Shimoda,JP,34.67,138.95,82.4,94,75,17.22
178,Meulaboh,ID,4.14,96.13,74.97,77,83,3.51
179,Cooma,AU,-36.23,149.13,51.8,66,0,10.29
180,Viseu,PT,40.66,-7.91,75.0,40,0,3.0
181,Longyearbyen,SJ,78.22,15.64,39.2,93,75,6.93
182,Ejea De Los Caballeros,ES,42.13,-1.14,60.8,59,25,19.46
183,Aksarka,RU,66.56,67.8,48.29,62,77,3.67
184,Asfi,MA,32.3,-9.24,73.56,70,0,8.79
185,Aksu,CN,41.12,80.26,64.44,52,29,2.75
186,Bokovskaya,RU,49.23,41.83,61.99,31,99,7.83
187,Clyde River,CA,70.47,-68.59,39.2,64,1,14.99
188,Apatou,GF,5.16,-54.35,75.02,96,90,2.55
189,Surt,LY,31.21,16.59,77.4,79,0,12.39
190,Cap Malheureux,MU,-19.98,57.61,66.99,91,93,4.0
191,Broken Hill,AU,-31.95,141.43,64.4,34,0,17.22
192,Tautira,PF,-17.73,-149.15,80.6,74,75,8.05
193,Huancavelica,PE,-12.77,-74.98,44.6,70,31,4.68
194,Ixtapa,MX,20.7,-105.2,86.0,83,90,2.24
195,Mountain Home,US,43.13,-115.69,93.2,6,1,14.99
196,Sikasso,ML,10.92,-7.0,71.76,96,29,4.34
197,Namatanai,PG,-3.67,152.43,84.31,72,9,6.98
198,Daro,GN,8.52,-9.57,68.4,98,90,2.48
199,Auki,SB,-8.77,160.7,85.14,67,33,1.34
200,Leninsk,RU,48.71,45.2,62.6,27,100,13.42
201,San Quintin,MX,30.48,-115.95,86.72,42,0,5.26
202,Palmer,US,42.16,-72.33,70.0,68,75,4.25
203,Machacamarca,BO,-18.17,-67.03,51.93,49,66,12.77
204,Esperance,AU,-33.87,121.9,48.2,100,90,14.99
205,Coquimbo,CL,-29.95,-71.34,53.6,81,90,5.82
206,Creston,US,41.06,-94.36,87.8,52,1,11.41
207,Swan River,CA,52.11,-101.27,51.04,61,94,11.14
208,Fort Nelson,CA,58.81,-122.7,55.4,62,75,3.36
209,Bredasdorp,ZA,-34.53,20.04,46.4,93,2,2.24
210,Maryville,US,35.76,-83.97,78.8,44,1,6.93
211,Lekoni,GA,-1.58,14.26,74.53,75,81,7.76
212,Taltal,CL,-25.4,-70.48,55.78,72,18,5.48
213,Manado,ID,1.49,124.85,78.8,88,20,2.24
214,Codrington,AU,-38.27,141.97,60.55,62,33,22.19
215,Tessalit,ML,20.2,1.01,90.05,32,31,5.93
216,Izazi,TZ,-7.2,35.73,64.17,63,0,1.88
217,Divnogorsk,RU,55.96,92.36,42.8,100,97,2.24
218,Hobyo,SO,5.35,48.53,75.9,82,8,20.92
219,College,US,64.86,-147.8,62.6,42,40,10.29
220,Sulangan,PH,11.14,123.72,84.79,73,64,5.93
221,Matara,LK,5.95,80.54,77.67,82,100,9.53
222,Sinnamary,GF,5.38,-52.95,79.02,87,79,10.22
223,Srednekolymsk,RU,67.45,153.68,51.91,76,100,2.44
224,Makakilo City,US,21.35,-158.09,86.0,55,75,9.17
225,Lasa,IT,46.62,10.7,51.8,100,75,4.7
226,Tutoia,BR,-2.76,-42.27,79.32,76,41,12.01
227,Saldanha,ZA,-33.01,17.94,51.8,76,0,2.24
228,Hofn,IS,64.25,-15.21,52.21,91,91,6.4
229,Ellisras,ZA,-23.66,27.74,49.55,86,0,5.01
230,Yaan,NG,7.38,8.57,73.02,95,95,6.67
231,Kavaratti,IN,10.57,72.64,82.56,79,99,24.9
232,Palauig,PH,15.44,119.9,80.56,74,100,5.08
233,Ushtobe,KZ,45.25,77.98,54.46,43,0,7.76
234,Tiksi,RU,71.69,128.87,43.79,86,98,5.41
235,Hithadhoo,MV,-0.6,73.08,82.15,76,100,12.15
236,Dusetos,LT,55.75,25.85,48.92,95,57,4.34
237,Nouadhibou,MR,20.93,-17.03,80.6,65,100,17.22
238,Sheregesh,RU,52.92,87.99,42.6,95,99,0.38
239,Serta,PT,39.81,-8.1,75.99,54,0,3.98
240,Moranbah,AU,-22.0,148.05,73.58,46,4,20.31
241,Gouyave,GD,12.16,-61.73,82.4,78,20,9.17
242,Laguna,US,38.42,-121.42,111.0,13,1,6.93
243,Bubaque,GW,11.28,-15.83,79.74,83,100,18.81
244,Phan Thiet,VN,10.93,108.1,79.81,83,74,6.42
245,Doha,QA,25.29,51.53,88.0,79,0,2.24
246,Chokurdakh,RU,70.63,147.92,47.28,54,4,9.51
247,Senekal,ZA,-28.32,27.62,54.19,74,45,5.75
248,Bumba,CD,2.18,22.47,70.56,95,87,1.52
249,Primorsk,UA,46.73,36.34,69.4,51,0,11.03
250,Norwich,GB,52.63,1.3,55.4,93,75,1.12
251,Vostok,RU,46.49,135.88,67.57,64,99,2.64
252,Airai,TL,-8.93,125.41,69.42,42,18,5.59
253,Timizart,DZ,36.8,4.27,66.56,80,0,4.85
254,Haines Junction,CA,60.75,-137.51,60.64,34,0,3.33
255,Tanggu,CN,39.02,117.65,71.6,100,90,4.47
256,Saint-Francois,FR,46.42,3.91,48.99,81,36,2.24
257,Aksarayskiy,RU,46.79,48.01,68.0,60,100,8.95
258,Kavieng,PG,-2.57,150.8,83.61,77,47,12.12
259,Balaipungut,ID,1.05,101.28,75.2,94,20,1.32
260,Avera,US,33.19,-82.53,80.6,44,1,4.7
261,Nkhata Bay,MW,-11.61,34.29,66.9,57,84,4.94
262,Ahlat,TR,38.75,42.48,63.3,39,0,1.07
263,Corpus Christi,US,27.8,-97.4,87.01,70,90,9.17
264,Nishihara,JP,26.18,127.76,82.4,100,75,11.41
265,Olafsvik,IS,64.89,-23.71,50.23,90,99,20.58
266,Belgrade,RS,44.8,20.47,64.4,72,0,5.61
267,Kahului,US,20.89,-156.47,89.6,40,40,20.8
268,La Ronge,CA,55.1,-105.28,50.0,57,75,14.99
269,Labuhan,ID,-6.88,112.21,79.09,77,66,9.42
270,Katsuura,JP,35.13,140.3,84.99,88,75,10.29
271,Bambous Virieux,MU,-20.34,57.76,68.0,94,75,1.12
272,Gazojak,TM,41.19,61.4,56.97,36,1,12.26
273,Mitzic,GA,0.78,11.55,66.58,99,56,3.44
274,Kaitangata,NZ,-46.28,169.85,55.99,57,19,5.99
275,Necochea,AR,-38.55,-58.74,39.99,91,0,4.0
276,Kaifeng,CN,34.79,114.35,69.8,83,0,2.24
277,Leningradskiy,RU,69.38,178.42,45.66,60,2,9.1
278,Binga,ZW,-17.62,27.34,62.13,49,0,2.19
279,Middle Island,US,40.88,-72.94,73.99,64,1,6.93
280,Garut,ID,-7.2,107.89,68.47,79,75,3.51
281,Galesong,ID,-5.32,119.37,78.8,74,20,1.12
282,Hamilton,US,39.18,-84.53,78.01,64,1,9.17
283,Bethanien,NA,-26.5,17.16,55.35,53,0,2.15
284,Loiza,PR,18.43,-65.88,84.2,74,20,11.41
285,Sorland,NO,67.67,12.69,51.19,80,100,1.41
286,Vilhena,BR,-12.74,-60.15,82.4,39,75,3.36
287,Sillamae,EE,59.4,27.75,53.47,86,56,10.27
288,Shakiso,ET,5.75,38.92,58.55,94,91,2.37
289,Moses Lake,US,47.13,-119.28,96.8,13,1,11.41
290,Emba,KZ,48.83,58.14,57.65,39,100,3.11
291,Bouna,CI,9.27,-3.0,70.45,97,73,4.59
292,Mattru,SL,7.62,-11.83,72.55,98,100,2.39
293,Beringovskiy,RU,63.05,179.32,48.58,76,85,6.71
294,Geraldton,AU,-28.77,114.6,60.8,72,90,10.29
295,Reporoa,NZ,-38.43,176.35,50.0,93,98,8.75
296,Cluses,FR,46.06,6.58,59.0,58,75,4.7
297,Ingham,US,42.6,-84.38,68.0,68,75,12.75
298,Bonthe,SL,7.53,-12.51,75.78,90,100,8.5
299,Tacarigua,VE,10.09,-67.92,74.26,87,57,1.19
300,Soto La Marina,MX,23.77,-98.22,80.01,88,100,8.99
301,Lalsk,RU,60.74,47.59,52.14,94,71,5.37
302,Iqaluit,CA,63.75,-68.51,46.4,52,75,9.17
303,Ballina,AU,-28.87,153.57,69.8,56,75,10.29
304,San Juan De Abajo,MX,20.82,-105.18,86.0,83,90,2.24
305,Victoria,HK,22.29,114.16,84.0,88,75,13.87
306,Iquique,CL,-20.22,-70.14,60.8,67,90,12.75
307,Monterey,US,36.25,-121.25,115.0,31,1,12.75
308,Mnogovershinnyy,RU,53.94,139.92,55.06,99,100,2.1
309,Kasane,BW,-17.82,25.15,58.93,34,0,4.92
310,Murray Bridge,AU,-35.12,139.27,68.0,35,10,24.14
311,Ulaangom,MN,49.98,92.07,54.14,54,67,5.95
312,El Mante,MX,22.73,-98.97,79.0,84,96,4.0
313,Itanhaem,BR,-24.18,-46.79,73.99,82,75,12.75
314,Nisia Floresta,BR,-6.09,-35.21,75.2,78,46,8.05
315,Pochutla,MX,15.74,-96.47,79.0,74,90,5.12
316,Ust-Nera,RU,64.57,143.2,48.45,69,99,2.95
317,Khani,GE,41.96,42.96,71.6,94,75,1.12
318,Shingu,JP,33.73,135.98,84.2,79,40,32.21
319,Westport,US,41.14,-73.36,77.0,61,90,11.41
320,Bulgan,MN,48.81,103.53,47.07,91,25,2.21
321,Forio,IT,40.73,13.86,73.4,77,0,1.12
322,Lompoc,US,34.64,-120.46,93.0,33,1,12.75
323,Benguela,AO,-12.58,13.41,70.63,84,77,1.86
324,Marquette,US,46.53,-87.63,66.99,80,100,7.0
325,Banepa,NP,27.63,85.52,69.8,94,75,4.7
326,Kieta,PG,-6.22,155.63,84.07,68,15,4.43
327,Sakakah,SA,29.97,40.21,84.2,14,0,4.7
328,Lata,PT,40.16,-8.33,69.01,88,0,2.24
329,Kodinsk,RU,58.69,99.18,46.29,73,60,3.33
330,Kimbe,PG,-5.55,150.14,88.32,56,69,2.17
331,Nong Ki,TH,14.69,102.54,77.0,100,20,1.12
332,Asau,RO,46.43,26.4,61.0,93,0,3.36
333,Zapolyarnyy,RU,69.42,30.81,48.2,87,6,16.11
334,Nome,US,64.5,-165.41,55.0,46,75,19.46
335,Marawi,PH,8.0,124.29,81.0,81,36,1.99
336,Estelle,US,29.85,-90.11,89.01,58,1,5.82
337,Batagay-Alyta,RU,67.8,130.41,43.23,81,98,8.46
338,Itaituba,BR,-4.28,-55.98,82.4,69,29,1.43
339,Saint-Louis,SN,16.33,-15.0,82.4,83,40,2.24
340,Muravlenko,RU,63.79,74.52,39.78,92,72,7.45
341,Sidareja,ID,-7.48,108.79,77.25,83,87,3.31
342,Chase,CA,50.82,-119.69,82.0,36,77,7.47
343,Puerto Palomas,MX,31.77,-107.62,93.2,20,1,6.93
344,Monte Santo,BR,-10.44,-39.33,67.17,76,19,8.59
345,Port Lincoln,AU,-34.73,135.87,68.11,35,100,29.82
346,Yeppoon,AU,-23.13,150.73,73.4,64,20,11.41
347,Sakyla,FI,61.03,22.33,50.0,93,75,2.24
348,Huangpi,CN,30.88,114.38,77.0,78,0,6.71
349,Porbandar,IN,21.64,69.61,81.91,85,35,8.37
350,Kachug,RU,53.96,105.88,50.07,86,82,2.62
351,Port Blair,IN,11.67,92.75,81.97,83,100,7.96
352,Dubrovnik,HR,42.65,18.09,68.0,72,0,9.17
353,San Patricio,MX,19.22,-104.7,89.6,75,75,11.41
354,Itamaraca,BR,-7.75,-34.83,77.0,69,0,10.29
355,Samarai,PG,-10.62,150.67,78.91,86,98,18.19
356,Husavik,IS,66.04,-17.34,59.0,58,75,12.75
357,Nago,JP,26.59,127.98,82.4,83,1,9.17
358,Saskylakh,RU,71.92,114.08,44.06,73,64,5.66
359,Quatre Cocos,MU,-20.21,57.76,68.0,94,75,1.12
360,Urumqi,CN,43.8,87.6,64.4,63,98,8.95
361,Arrecife,ES,28.96,-13.55,75.2,78,20,11.41
362,Hualmay,PE,-11.1,-77.61,60.35,83,76,8.37
363,Jiuquan,CN,39.74,98.52,64.63,30,1,1.95
364,Pestyaki,RU,56.71,42.67,59.95,70,100,6.26
365,Muros,ES,42.78,-9.06,61.0,82,1,4.7
366,Melilla,ES,35.29,-2.94,75.2,83,20,4.7
367,Vung Tau,VN,10.35,107.08,81.93,78,77,6.26
368,Kodiak,US,57.79,-152.41,53.6,100,90,14.99
369,Nanortalik,GL,60.14,-45.24,44.35,94,100,8.01
370,Severo-Kurilsk,RU,50.68,156.12,57.58,88,100,5.7
371,Carutapera,BR,-1.2,-46.02,77.09,80,50,6.51
372,Worland,US,44.02,-107.96,86.0,17,1,8.05
373,San Juan Bautista,PE,-14.01,-75.74,64.0,77,7,17.22
374,Ust-Tsilma,RU,65.44,52.15,53.28,91,100,4.88
375,Tuatapere,NZ,-46.13,167.68,54.72,51,25,1.81
376,Mwinilunga,ZM,-11.74,24.43,53.76,40,0,4.99
377,Belaya Gora,RU,68.53,146.42,46.15,64,100,7.52
378,Les Escoumins,CA,48.11,-69.02,49.39,84,0,4.94
379,Nara,JP,34.69,135.8,88.0,70,75,12.75
380,Lundazi,ZM,-12.29,33.18,57.87,57,77,9.1
381,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,60.8,72,75,2.24
382,Poum,NC,-20.23,164.02,73.49,77,100,5.91
383,Fulton,US,33.77,-84.45,82.4,42,1,5.82
384,El Zapote,MX,21.07,-102.8,70.83,72,100,4.56
385,Ankang,CN,32.68,109.02,72.12,71,0,0.2
386,Pevek,RU,69.7,170.31,43.86,69,0,15.32
387,Mandalgovi,MN,45.76,106.27,55.0,76,11,8.59
388,Lima,PE,-12.04,-77.03,60.8,77,90,10.29
389,Nizhniy Tsasuchey,RU,50.52,115.13,59.09,76,89,5.23
390,Sosnovo-Ozerskoye,RU,52.52,111.54,51.91,90,52,5.95
391,Stykkisholmur,IS,65.08,-22.73,49.64,91,98,12.53
392,San Luis,AR,-33.3,-66.34,50.95,62,10,16.33
393,Vangaindrano,MG,-23.35,47.6,59.94,84,33,6.44
394,Preobrazheniye,RU,42.9,133.91,70.29,64,100,12.48
395,Sandwick,GB,60.0,-1.25,51.8,76,100,14.99
396,Fairbanks,US,64.84,-147.72,62.6,42,1,9.17
397,Honiara,SB,-9.43,159.95,84.2,79,40,12.75
398,Smithers,CA,54.78,-127.17,59.0,77,75,8.05
399,Namie,JP,37.48,141.0,77.0,89,55,14.09
400,Xining,CN,36.62,101.77,53.69,65,0,2.19
401,Saint-Pierre,RE,-21.34,55.48,69.8,68,90,6.93
402,Alekseyevsk,RU,57.84,108.35,49.87,85,96,1.57
403,Sur,OM,22.57,59.53,82.51,63,0,9.08
404,Bonanza,NI,14.03,-84.59,75.49,96,97,2.21
405,Drayton Valley,CA,53.22,-114.99,52.0,66,100,5.53
406,Waddan,LY,29.16,16.14,75.06,56,0,10.8
407,Tynda,RU,55.17,124.72,55.29,73,1,2.95
408,Kisanga,TZ,-7.44,37.7,69.98,77,16,2.73
