City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
397,Verkh-Usugli,RU,52.7,115.17,61.38,65,100,1.25
398,Nome,US,64.5,-165.41,55.4,43,75,23.04
399,San Andres,CO,12.58,-81.7,84.2,79,20,4.7
400,Boguchany,RU,58.38,97.45,49.53,67,55,5.99
401,Nautla,MX,20.22,-96.78,78.13,85,100,10.36
402,Kendari,ID,-3.94,122.5,82.0,70,56,3.58
403,Atbasar,KZ,51.8,68.33,45.01,87,22,10.02
404,Linxia,CN,35.6,103.21,62.94,51,0,1.7
405,Yarqa,JO,31.98,35.69,73.4,49,0,4.7
406,Saint-Denis,FR,48.92,2.33,57.0,76,0,2.24
407,Clermont,FR,49.5,2.42,52.0,93,0,3.36
408,Hope,US,33.67,-93.59,88.0,57,0,3.56
409,Plouzane,FR,48.38,-4.62,55.4,100,90,1.12
410,Yenagoa,NG,4.92,6.26,73.4,92,61,3.89
411,Axim,GH,4.87,-2.24,75.07,86,100,8.86
412,Bojnurd,IR,37.47,57.33,62.6,31,0,2.24
413,Batagay-Alyta,RU,67.8,130.41,43.25,82,100,7.76
414,Akom,CM,2.67,12.71,66.38,100,100,3.78
415,Saint-Pierre,RE,-21.34,55.48,69.8,64,90,3.36
416,Nexo,DK,55.06,15.13,59.0,67,0,13.87
417,The Valley,AI,18.22,-63.06,82.99,78,40,5.82
418,Biryusinsk,RU,55.96,97.82,48.78,71,100,9.4
419,Pitimbu,BR,-7.47,-34.81,71.6,88,0,3.36
420,Haverfordwest,GB,51.8,-4.97,55.0,90,100,2.71
421,Nagato,JP,34.38,131.2,82.4,74,75,23.04
422,Haines Junction,CA,60.75,-137.51,60.42,33,6,4.52
423,Nador,MA,35.17,-2.93,75.2,78,4,4.7
424,Gorlev,DK,55.54,11.23,54.0,93,0,3.36
425,Naze,JP,28.37,129.48,82.4,78,75,10.29
426,Alice Springs,AU,-23.7,133.88,80.6,10,0,8.05
427,Tuy Hoa,VN,13.08,109.3,85.42,67,1,12.5
428,Kibuye,RW,-2.06,29.35,66.0,71,76,2.66
429,Shyroke,UA,47.69,33.26,60.8,63,0,4.47
430,Tabas,IR,33.6,56.92,77.0,16,0,4.7
431,Havoysund,NO,71.0,24.66,48.2,100,75,18.34
432,Gurupa,BR,-1.41,-51.64,77.94,80,25,2.59
433,Grindavik,IS,63.84,-22.43,50.0,100,90,20.8
